Layer 2 finished, totally 0files processed.
Layer 25 finished, totally 0files processed.
Layer 22 finished, totally 0files processed.
Layer 31 finished, totally 0files processed.
Layer 32 finished, totally 0files processed.
Layer 6 finished, totally 22files processed.
Layer 7 finished, totally 0files processed.
Layer 19 finished, totally 0files processed.
Layer 0 finished, totally 0files processed.
Layer 21 finished, totally 0files processed.
Layer 42 finished, totally 0files processed.
Layer 35 finished, totally 0files processed.
Layer 37 finished, totally 0files processed.
Layer 30 finished, totally 0files processed.
Layer 34 finished, totally 0files processed.
Layer 5 finished, totally 0files processed.
Layer 44 finished, totally 0files processed.
Layer 9 finished, totally 0files processed.
Layer 16 finished, totally 0files processed.
Layer 3 finished, totally 0files processed.
Layer 43 finished, totally 0files processed.
Layer 1 finished, totally 0files processed.
Layer 15 finished, totally 0files processed.
Layer 10 finished, totally 0files processed.
Layer 12 finished, totally 0files processed.
Layer 4 finished, totally 0files processed.
Layer 45 finished, totally 19files processed.
Layer 17 finished, totally 0files processed.
Layer 14 finished, totally 39files processed.
Layer 8 finished, totally 0files processed.
Layer 39 finished, totally 36files processed.
Layer 33 finished, totally 8files processed.
Layer 11 finished, totally 0files processed.
Layer 38 finished, totally 10files processed.
Layer 29 finished, totally 1files processed.
Layer 40 finished, totally 82files processed.
Layer 26 finished, totally 0files processed.
Layer 27 finished, totally 34files processed.
Layer 23 finished, totally 63files processed.
Layer 28 finished, totally 17files processed.
Layer 36 finished, totally 133files processed.
Layer 20 finished, totally 26files processed.
Layer 41 finished, totally 132files processed.
Layer 24 finished, totally 31files processed.
Layer 18 finished, totally 55files processed.
Layer 47 finished, totally 142files processed.
Layer 13 finished, totally 104files processed.
Layer 46 finished, totally 235files processed.
Layer 63 finished, totally 2025files processed.
Layer 55 finished, totally 2025files processed.
Layer 52 finished, totally 2025files processed.
Layer 66 finished, totally 2025files processed.
Layer 54 finished, totally 2025files processed.
Layer 69 finished, totally 2025files processed.
Layer 81 finished, totally 2025files processed.
Layer 70 finished, totally 2025files processed.
Layer 80 finished, totally 2025files processed.
Layer 74 finished, totally 2025files processed.
Layer 64 finished, totally 2025files processed.
Layer 60 finished, totally 2025files processed.
Layer 65 finished, totally 2025files processed.
Layer 68 finished, totally 2025files processed.
Layer 57 finished, totally 2025files processed.
Layer 73 finished, totally 2025files processed.
Layer 49 finished, totally 2025files processed.
Layer 85 finished, totally 2025files processed.
Layer 59 finished, totally 2025files processed.
Layer 48 finished, totally 2025files processed.
Layer 62 finished, totally 2025files processed.
Layer 67 finished, totally 2025files processed.
Layer 71 finished, totally 2025files processed.
Layer 76 finished, totally 2025files processed.
Layer 82 finished, totally 2025files processed.
Layer 58 finished, totally 2025files processed.
Layer 75 finished, totally 2025files processed.
Layer 83 finished, totally 2025files processed.
Layer 50 finished, totally 2025files processed.
Layer 53 finished, totally 2025files processed.
Layer 61 finished, totally 2025files processed.
Layer 78 finished, totally 2025files processed.
Layer 51 finished, totally 2025files processed.
Layer 77 finished, totally 2025files processed.
Layer 79 finished, totally 2025files processed.
Layer 56 finished, totally 2025files processed.
Layer 84 finished, totally 2025files processed.
Layer 72 finished, totally 2025files processed.
Layer 86 finished, totally 2025files processed.
Layer 87 finished, totally 2025files processed.
Layer 92 finished, totally 2025files processed.
Layer 89 finished, totally 2025files processed.
Layer 88 finished, totally 2025files processed.
Layer 94 finished, totally 2025files processed.
Layer 99 finished, totally 2025files processed.
Layer 104 finished, totally 2025files processed.
Layer 97 finished, totally 2025files processed.
Layer 93 finished, totally 2025files processed.
Layer 91 finished, totally 2025files processed.
Layer 98 finished, totally 2025files processed.
Layer 96 finished, totally 2025files processed.
Layer 95 finished, totally 2025files processed.
Layer 105 finished, totally 2025files processed.
Layer 103 finished, totally 2025files processed.
Layer 102 finished, totally 2025files processed.
Layer 115 finished, totally 2025files processed.
Layer 100 finished, totally 2025files processed.
Layer 101 finished, totally 2025files processed.
Layer 114 finished, totally 2025files processed.
Layer 90 finished, totally 2025files processed.
Layer 106 finished, totally 2025files processed.
Layer 110 finished, totally 2025files processed.
Layer 109 finished, totally 2025files processed.
Layer 119 finished, totally 2025files processed.
Layer 120 finished, totally 2025files processed.
Layer 108 finished, totally 2025files processed.
Layer 118 finished, totally 2025files processed.
Layer 112 finished, totally 2025files processed.
Layer 111 finished, totally 2025files processed.
Layer 107 finished, totally 2025files processed.
Layer 113 finished, totally 2025files processed.
Layer 121 finished, totally 2025files processed.
Layer 117 finished, totally 2025files processed.
Layer 116 finished, totally 2025files processed.
Layer 123 finished, totally 2025files processed.
Layer 125 finished, totally 2025files processed.
Layer 122 finished, totally 2025files processed.
Layer 124 finished, totally 2025files processed.
